Catégorie : Toutes catégories

Semaine,Dolly Parton: (États-Unis)
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,71
2023-01-15,0
2023-01-22,70
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,47
2023-03-12,0
2023-03-19,42
2023-03-26,89
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,49
2023-04-30,42
2023-05-07,100
2023-05-14,67
2023-05-21,58
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,55
2023-07-09,65
2023-07-16,0
2023-07-23,50
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,0
2023-09-03,37
2023-09-10,0
2023-09-17,36
2023-09-24,0
2023-10-01,0
2023-10-08,53
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,90
