Semaine,Value
2023-10-29,0
2023-10-22,27
2023-10-15,0
2023-10-08,0
2023-10-01,0
2023-09-24,0
2023-09-17,0
2023-09-10,0
2023-09-03,0
2023-08-27,0
2023-08-20,0
2023-08-13,0
2023-08-06,0
2023-07-30,0
2023-07-23,0
2023-07-16,0
2023-07-09,0
2023-07-02,35
2023-06-25,0
2023-06-18,0
2023-06-11,0
2023-06-04,0
2023-05-28,0
2023-05-21,0
2023-05-14,0
2023-05-07,0
2023-04-30,100
2023-04-23,0
2023-04-16,31
2023-04-09,0
2023-04-02,0
2023-03-26,0
2023-03-19,0
2023-03-12,0
2023-03-05,0
2023-02-26,0
2023-02-19,0
2023-02-12,21
2023-02-05,0
2023-01-29,20
2023-01-22,0
2023-01-15,25
2023-01-08,0
2023-01-01,34
2022-12-25,36
2022-12-18,0
2022-12-11,0
2022-12-04,0
2022-11-27,0
2022-11-20,33
2022-11-13,0
2022-11-06,0
